SongID,Performer.x,Song.x,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,url,WeekID,Week.Position,Song.y,Performer.y,Instance,Previous.Week.Position,Peak.Position,Weeks.on.Chart,genrez,date2,year,month,rock_genrez,weeks_chart,position_peak,year2,weeks_chart2,position_peak2,performer,song
Living In The PastJethro Tull,Jethro Tull,Living In The Past,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",2hSOrxX3I69A8xth8arEq2,https://p.scdn.co/mp3-preview/91e90eed3a5a6b0b8eb56365dad85f355547ade1?cid=b8d3901151d34489a160e3cf0ab1fa94,Stand Up,FALSE,202893,46,0.686,0.488,5,-11.024,1,0.0582,0.216,1.89e-5,0.121,0.965,151.031,5,http://www.billboard.com/charts/hot-100/1972-12-16,12/16/1972,20,Living In The Past,Jethro Tull,1,26,20,7,rock,1972-12-16,1972,12,blues,7,20,1972,7,20,Jethro Tull,Living In The Past
If Looks Could KillPlayer,Player,If Looks Could Kill,"['country rock', 'soft rock', 'yacht rock']",2xjmPPUtAmHZUP8tGjPeRj,https://p.scdn.co/mp3-preview/403d6dc7b746954b1c9798fc37107ef685de9a97?cid=b8d3901151d34489a160e3cf0ab1fa94,Best of Player,FALSE,215145,22,0.651,0.706,1,-7.411,1,0.0363,0.0154,0,0.0719,0.704,121.839,4,http://www.billboard.com/charts/hot-100/1982-01-30,1/30/1982,71,If Looks Could Kill,Player,1,81,71,2,rock,1982-01-30,1982,1,country rock,2,71,1982,2,71,Player,If Looks Could Kill
Made To Love YouGary Wright,Gary Wright,Made To Love You,"['album rock', 'classic rock', 'country rock', 'mellow gold', 'soft rock', 'yacht rock']",0VKllTnl6NOjxm3e6A6JxS,https://p.scdn.co/mp3-preview/8fa3ef048fe946eed59b86043679acd60a607828?cid=b8d3901151d34489a160e3cf0ab1fa94,The Dream Weaver,FALSE,223800,20,0.519,0.452,0,-12.985,1,0.0318,0.339,1.72e-4,0.302,0.357,122.744,4,http://www.billboard.com/charts/hot-100/1976-09-18,9/18/1976,92,Made To Love You,Gary Wright,1,NA,92,1,rock,1976-09-18,1976,9,classic,1,92,1976,1,92,Gary Wright,Made To Love You
"Bells, Bells, Bells (The Bell Song)Billy & Lillie",Billy & Lillie,"Bells, Bells, Bells (The Bell Song)","['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.billboard.com/charts/hot-100/1959-08-01,8/1/1959,88,"Bells, Bells, Bells (The Bell Song)",Billy & Lillie,1,91,88,4,rock,1959-08-01,1959,8,classic,4,88,1959,4,88,Billy & Lillie,"Bells, Bells, Bells (The Bell Song)"
Point At YouJustin Moore,Justin Moore,Point At You,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",5ZMFVgZSYvbq3SmgRwaGMa,NA,Off The Beaten Path (Deluxe Edition),FALSE,180720,50,0.626,0.805,7,-5.81,1,0.0449,0.0126,0,0.156,0.882,116.03,4,http://www.billboard.com/charts/hot-100/2013-07-06,7/6/2013,89,Point At You,Justin Moore,1,87,87,4,rock,2013-07-06,2013,7,country rock,4,87,2013,4,87,Justin Moore,Point At You
High On YouSurvivor,Survivor,High On You,"['album rock', 'hard rock', 'rock', 'soft rock']",0kly0FygSDXVbvbXxsZ31S,https://p.scdn.co/mp3-preview/d5f97951358baca552a78f632f00def076549d1f?cid=b8d3901151d34489a160e3cf0ab1fa94,Vital Signs,FALSE,248200,53,0.659,0.714,7,-9.811,1,0.0321,0.398,1.15e-5,0.174,0.871,125.152,4,http://www.billboard.com/charts/hot-100/1985-05-11,5/11/1985,61,High On You,Survivor,1,59,8,16,rock,1985-05-11,1985,5,hard,16,8,1985,16,8,Survivor,High On You
If I Die YoungThe Band Perry,The Band Perry,If I Die Young,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",4u26EevCNXMhlvE1xFBJwX,NA,The Band Perry,FALSE,222773,69,0.606,0.497,4,-6.611,1,0.0277,0.348,0,0.275,0.362,130.739,4,http://www.billboard.com/charts/hot-100/2011-11-05,11/5/2011,35,If I Die Young,The Band Perry,2,35,14,48,rock,2011-11-05,2011,11,country rock,48,14,2011,48,14,The Band Perry,If I Die Young
FriendsJohn Michael Montgomery,John Michael Montgomery,Friends,"['contemporary country', 'country', 'country road', 'country rock']",3cllg2r81NdWYVTNWbQKqQ,https://p.scdn.co/mp3-preview/88d1c059652d472dff362ca62d4fa5fa5f2aad61?cid=b8d3901151d34489a160e3cf0ab1fa94,90s Country Hits,FALSE,234000,27,0.62,0.401,9,-10.279,1,0.0288,0.23,0,0.0745,0.238,143.961,4,http://www.billboard.com/charts/hot-100/1997-02-08,2/8/1997,69,Friends,John Michael Montgomery,1,70,69,7,rock,1997-02-08,1997,2,country rock,7,69,1997,7,69,John Michael Montgomery,Friends
The PretenderFoo Fighters,Foo Fighters,The Pretender,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",7x8dCjCr0x6x2lXKujYD34,https://p.scdn.co/mp3-preview/6aba2f4e671ffe07fd60807ca5fef82d48146d4c?cid=b8d3901151d34489a160e3cf0ab1fa94,Echoe,FALSE,269373,78,0.433,0.959,9,-4.04,1,0.0431,9.17e-4,0,0.028,0.365,172.984,4,http://www.billboard.com/charts/hot-100/2007-12-08,12/8/2007,60,The Pretender,Foo Fighters,1,58,37,16,rock,2007-12-08,2007,12,metal,16,37,2007,16,37,Foo Fighters,The Pretender
Brown Eyed GirlVan Morrison,Van Morrison,Brown Eyed Girl,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",3yrSvpt2l1xhsV9Em88Pul,https://p.scdn.co/mp3-preview/cb2b0096b08796c0c1cfeb31b9a9802ce0a3b44a?cid=b8d3901151d34489a160e3cf0ab1fa94,Blowin' Your Mind!,FALSE,183306,80,0.491,0.583,7,-10.964,1,0.0376,0.182,0,0.407,0.907,150.572,4,http://www.billboard.com/charts/hot-100/1967-10-07,10/7/1967,13,Brown Eyed Girl,Van Morrison,1,10,10,13,rock,1967-10-07,1967,10,classic,13,10,1967,13,10,Van Morrison,Brown Eyed Girl
